Comp1-1	Comp1-2	Comp1-3	Mix1	Comp2-1	Comp2-2	Comp2-3	Mix2
0.00000000	0.00780204	0.00826350	516.00000000	0.00000000	0.00776731	0.00833276	1230.00000000
0.00000000	0.00769659	0.00797071	444.00000000	0.00000000	0.00766439	0.00803932	1198.00000000
0.00000000	0.00759258	0.00768835	454.00000000	0.00000000	0.00756284	0.00775626	1117.00000000
0.00000000	0.00748998	0.00741606	435.00000000	0.00000000	0.00746264	0.00748321	1148.00000000
0.00000000	0.00738878	0.00715347	440.00000000	0.00000000	0.00736377	0.00721982	1082.00000000
0.00000000	0.00728896	0.00690025	445.00000000	0.00000000	0.00726622	0.00696574	1044.00000000
0.00000000	0.00719049	0.00665606	482.00000000	0.00000000	0.00716997	0.00672065	1074.00000000
0.00000000	0.00709336	0.00642057	422.00000000	0.00000000	0.00707500	0.00648422	1064.00000000
0.00000000	0.00699756	0.00619348	444.00000000	0.00000000	0.00698129	0.00625616	1028.00000000
0.00000000	0.00690306	0.00597449	398.00000000	0.00000000	0.00688883	0.00603616	1020.00000000
0.00000000	0.00680985	0.00576331	398.00000000	0.00000000	0.00679760	0.00582394	1012.00000000
0.00000000	0.00671790	0.00555965	370.00000000	0.00000000	0.00670759	0.00561922	1036.00000000
0.00000000	0.00662720	0.00536326	381.00000000	0.00000000	0.00661877	0.00542175	944.00000000
0.00000000	0.00653774	0.00517386	376.00000000	0.00000000	0.00653113	0.00523125	975.00000000
0.00000000	0.00644950	0.00499122	389.00000000	0.00000000	0.00644466	0.00504750	890.00000000
0.00000000	0.00636246	0.00481510	328.00000000	0.00000000	0.00635934	0.00487024	927.00000000
0.00000000	0.00627660	0.00464525	408.00000000	0.00000000	0.00627515	0.00469925	890.00000000
0.00000000	0.00619191	0.00448146	341.00000000	0.00000000	0.00619209	0.00453431	856.00000000
0.00000000	0.00610837	0.00432350	340.00000000	0.00000000	0.00611013	0.00437520	852.00000000
0.00000000	0.00602597	0.00417118	310.00000000	0.00000000	0.00602926	0.00422172	841.00000000
0.00000000	0.00594469	0.00402429	327.00000000	0.00000000	0.00594947	0.00407367	800.00000000
0.00000000	0.00586452	0.00388264	356.00000000	0.00000000	0.00587074	0.00393085	812.00000000
0.00000000	0.00578543	0.00374604	279.00000000	0.00000000	0.00579306	0.00379309	782.00000000
0.00000000	0.00570743	0.00361431	305.00000000	0.00000000	0.00571641	0.00366019	775.00000000
0.00000000	0.00563048	0.00348727	319.00000000	0.00000000	0.00564078	0.00353200	768.00000000
0.00000000	0.00555458	0.00336477	304.00000000	0.00000000	0.00556615	0.00340833	759.00000000
0.00000000	0.00547972	0.00324663	289.00000000	0.00000000	0.00549252	0.00328905	783.00000000
0.00000000	0.00540587	0.00313270	280.00000000	0.00000000	0.00541987	0.00317398	700.00000000
0.00000000	0.00533303	0.00302284	296.00000000	0.00000000	0.00534819	0.00306298	725.00000000
0.00000000	0.00526118	0.00291689	294.00000000	0.00000000	0.00527746	0.00295590	711.00000000
0.00000000	0.00519030	0.00281472	255.00000000	0.00000000	0.00520767	0.00285262	662.00000000
0.00000000	0.00512039	0.00271619	249.00000000	0.00000000	0.00513881	0.00275298	699.00000000
0.00000000	0.00505144	0.00262118	266.00000000	0.00000000	0.00507087	0.00265687	705.00000000
0.00000000	0.00498342	0.00252955	236.00000000	0.00000000	0.00500383	0.00256416	675.00000000
0.00000000	0.00491632	0.00244119	278.00000000	0.00000000	0.00493768	0.00247473	619.00000000
